id,text,title,labels
doc_451,Are cloud-specific information security responsibilities clearly defined between the CSP and CSC?,27017 – Shared Responsibilities,"defined responsibilities, CSP-CSC roles, cloud security, Cloud responsibilities, Documentation"
doc_452,Is a shared responsibility model documented and communicated?,27017 – Shared Responsibilities,"Cloud responsibilities, Documentation"
doc_453,Are cloud responsibilities included in contracts and SLAs?,27017 – Shared Responsibilities,"Cloud responsibilities, Documentation"
doc_454,Does the organization regularly review responsibility assignments with the cloud provider?,27017 – Shared Responsibilities,"cloud security, cloud governance, change review"
doc_455,Are gaps in shared responsibilities identified and mitigated?,27017 – Shared Responsibilities,"cloud security, governance, compliance, risk management"
doc_456,Are cloud service descriptions reviewed to understand security obligations?,27017 – Cloud Governance,"cloud security, cloud services, security review"
doc_457,Are responsibilities for cloud configuration documented?,27017 – Cloud Governance,"cloud responsibilities, documentation, cloud configuration, Cloud responsibilities, Documentation"
doc_458,Does cloud governance include alignment with ISO 27001/27002 controls?,27017 – Cloud Governance,"cloud security, governance, compliance, risk management"
doc_459,Are cloud service providers evaluated before onboarding?,27017 – Cloud Governance,"cloud services, risk evaluation, pre-adoption review, cloud onboarding, risk assessment, vendor evaluation"
doc_460,Is cloud onboarding subject to a risk assessment?,27017 – Cloud Governance,"cloud onboarding, risk assessment, vendor evaluation"
doc_461,"Is a cloud asset inventory maintained for virtual resources (VMs, storage, databases, APIs)?",27017 – Cloud Asset Management,"cloud governance, configuration management, change management, version control"
doc_462,Are cloud assets tagged according to classification?,27017 – Cloud Asset Management,"cloud assets, data classification, tagging, labeling, sensitivity"
doc_463,Are cloud assets mapped to their regions and zones?,27017 – Cloud Asset Management,cloud security
doc_464,Are cloud resources automatically discovered through tooling?,27017 – Cloud Asset Management,"cloud security, governance, compliance, risk management"
doc_465,Are unmanaged or shadow cloud resources identified and removed?,27017 – Cloud Asset Management,cloud security
doc_466,Is cloud data classified and labeled according to sensitivity?,27017 – Cloud Data Management,"cloud assets, data classification, tagging, labeling, sensitivity"
doc_467,Are cloud storage buckets configured according to data classification?,27017 – Cloud Data Management,"cloud security, cloud assets, data classification, tagging, labeling, sensitivity"
doc_468,Is sensitive cloud data encrypted in storage?,27017 – Cloud Data Management,cloud security
doc_469,Is cloud data encrypted during transfer?,27017 – Cloud Data Management,"data encryption, data in transit, cloud traffic, cloud data, encryption"
