id,text,title,labels
doc_851,Is a Privacy Information Management System (PIMS) established and documented?,27701 – PIMS Governance,"Privacy Information Management System, PIMS documentation, PIMS establishment"
doc_852,Is the PIMS integrated with the existing ISMS (ISO 27001)?,27701 – PIMS Governance,"PIMS integration, ISMS integration, ISO 27001"
doc_853,Are privacy objectives defined and measurable?,27701 – PIMS Governance,"Privacy objectives, Measurable objectives"
doc_854,Are privacy objectives aligned to business and regulatory needs?,27701 – PIMS Governance,"Privacy objectives, Business needs, Regulatory needs, Alignment assessment"
doc_855,Is the PIMS regularly reviewed by senior management?,27701 – PIMS Governance,"PIMS review, Senior management, Regular review"
doc_856,Are roles for PII controllers and PII processors clearly defined?,27701 – Organizational Roles,"PII controllers, PII processors, role definitions"
doc_857,Is a Data Protection Officer (DPO) appointed where required?,27701 – Organizational Roles,"Data Protection Officer, DPO appointment"
doc_858,Are responsibilities for PII lifecycle management documented?,27701 – Organizational Roles,"PII lifecycle management, Documented responsibilities"
doc_859,Are privacy responsibilities communicated to all relevant employees?,27701 – Organizational Roles,"Privacy responsibilities, Employee communication, Privacy awareness"
doc_860,Are privacy responsibilities reviewed during organizational changes?,27701 – Organizational Roles,"privacy responsibilities, organizational changes, responsibility review"
doc_861,Is an inventory of all PII categories maintained?,27701 – PII Inventory & Mapping,"PII inventory, PII categories, Data inventory"
doc_862,Are PII flows documented across systems and subprocessors?,27701 – PII Inventory & Mapping,"PII flows, Data flow documentation, Cross-system flows, Subprocessor management"
doc_863,Is PII classified based on sensitivity and risk?,27701 – PII Inventory & Mapping,"PII classification, Sensitivity, Risk"
doc_864,"Are PII storage locations documented, including cloud and on-prem?",27701 – PII Inventory & Mapping,"PII storage locations, Storage location documentation, Cloud storage, On-prem storage"
doc_865,Are lawful bases for processing each PII category identified?,27701 – PII Inventory & Mapping,"Lawful basis, PII categories, Processing identification"
doc_866,Is there a privacy policy publicly available for data subjects?,27701 – Privacy Policy Requirements,"Privacy policy, Public availability, Data subjects"
doc_867,Does the privacy policy specify what PII is processed and why?,27701 – Privacy Policy Requirements,"Privacy policy, PII processing, Processing purpose"
doc_868,Are privacy notices aligned with regulatory requirements (GDPR etc.)?,27701 – Privacy Policy Requirements,"Privacy notices, Regulatory requirements, GDPR compliance"
doc_869,Are data subjects informed of their rights?,27701 – Privacy Policy Requirements,"Data subject rights, Rights notification, Privacy notice"
doc_870,Are privacy notices reviewed periodically?,27701 – Privacy Policy Requirements,"Privacy notices, Periodic review"
doc_871,Is the legal basis for each PII processing operation documented?,27701 – Legal Basis for PII Processing,"Legal basis documentation, PII processing, Processing operations"
doc_872,Are consent requirements documented when applicable?,27701 – Legal Basis for PII Processing,"consent requirements, documentation requirements"
doc_873,"Are consent mechanisms available, explicit, and auditable?",27701 – Legal Basis for PII Processing,"Consent mechanisms, Explicit consent, Auditability"
doc_874,Is processing limited to what is necessary for the intended purpose?,27701 – Legal Basis for PII Processing,"purpose limitation, data minimization, processing necessity"
doc_875,Is processing of sensitive PII subject to enhanced controls?,27701 – Legal Basis for PII Processing,"Sensitive PII, PII processing, Enhanced controls"
doc_876,Are notices provided when PII is collected directly from data subjects?,27701 – Transparency & Notices,"PII collection notice, Direct collection, Data subjects, Privacy notice"
doc_877,Are data subjects informed if PII is collected indirectly?,27701 – Transparency & Notices,"Data subject notice, Indirect collection, Personally identifiable information"
doc_878,Do privacy notices include retention durations?,27701 – Transparency & Notices,"Privacy notices, Retention durations"
doc_879,Are data subjects notified of automated decision-making?,27701 – Transparency & Notices,"data subject notification, automated decision-making"
doc_880,Are data subjects notified when new purposes for processing arise?,27701 – Transparency & Notices,"data subject notification, new processing purposes, purpose change notice, processing purpose"
doc_881,Are data subject access requests (DSAR) handled promptly?,27701 – Data Subject Rights Management,"Data subject access requests, DSAR handling, Prompt response, Request timeliness"
